    Snapshot	T-R Separation Distance (m)	Received Power (dBm)	Path Loss (dB)	RMS Delay Spread (ns)	
       1	                     46.9	          -21.9	          101.1	                 3.8
       1	                     46.9	          -27.7	          106.9	                 3.5
       1	                     46.9	          -33.6	          112.8	                 0.2
       1	                     46.9	          -35.7	          114.9	                 0.3
       1	                     46.9	          -34.9	          114.1	                 2.7
       1	                     46.9	          -38.1	          117.3	                 6.8
       1	                     46.9	          -38.3	          117.5	                11.2
       1	                     46.9	          -46.7	          125.9	                34.1
       1	                     46.9	          -37.3	          116.6	                 3.8
       1	                     46.9	          -42.8	          122.0	                 8.3
       1	                     46.9	          -34.8	          114.0	                11.0
       1	                     46.9	          -37.2	          116.4	                 1.3
       1	                     46.9	          -40.7	          119.9	                 7.2
       1	                     46.9	          -35.9	          115.2	                 5.9
       1	                     46.9	          -44.7	          124.0	                 6.0
       1	                     46.9	          -46.7	          125.9	                23.7
       1	                     46.9	          -45.1	          124.3	                 4.7
       1	                     46.9	          -29.1	          108.3	                12.6
       1	                     46.9	          -33.9	          113.1	                43.8
       1	                     46.9	          -45.9	          125.1	                34.5
       1	                     46.9	          -42.7	          121.9	                36.9
       1	                     46.9	          -43.8	          123.0	                36.1
       1	                     46.9	          -44.4	          123.6	                11.4
       1	                     46.9	          -47.2	          126.4	                34.5
       1	                     46.9	          -28.7	          107.9	                 6.1
       1	                     46.9	          -49.0	          128.2	                14.6
       1	                     46.9	          -45.9	          125.1	                48.8
       1	                     46.9	          -52.6	          131.8	                36.3
       1	                     46.9	          -56.6	          135.8	                59.2
       1	                     46.9	          -45.4	          124.6	                26.5
       1	                     46.9	          -51.9	          131.2	                15.4
       1	                     46.9	          -56.2	          135.4	                28.4
       1	                     46.9	          -36.4	          115.6	                 8.3
       1	                     46.9	          -30.3	          109.5	                 7.4
       1	                     46.9	          -60.9	          140.1	                74.1
       1	                     46.9	          -63.2	          142.5	                80.8
       1	                     46.9	          -53.3	          132.5	                51.9
       1	                     46.9	          -62.8	          142.0	               107.9
       1	                     46.9	          -62.0	          141.2	                59.0
       1	                     46.9	          -57.5	          136.8	                94.4
       1	                     46.9	          -60.0	          139.2	                49.4
       1	                     46.9	          -60.5	          139.7	                81.3
       1	                     46.9	          -61.7	          140.9	                87.6
       1	                     46.9	          -62.6	          141.8	                68.5
       1	                     46.9	          -64.7	          143.9	                95.0
       1	                     46.9	          -28.0	          107.2	                 5.7
       1	                     46.9	          -57.5	          136.7	                50.2
       1	                     46.9	          -63.9	          143.1	                93.0
       1	                     46.9	          -46.6	          125.8	                28.9
       1	                     46.9	          -58.1	          137.3	                23.0
       1	                     46.9	          -34.7	          113.9	                15.9
       1	                     46.9	          -39.1	          118.3	                 6.2
       1	                     46.9	          -29.3	          108.5	                11.4
       1	                     46.9	          -65.0	          144.2	                40.4
       1	                     46.9	          -55.8	          135.0	                44.8
       1	                     46.9	          -70.0	          149.2	                37.1
       1	                     46.9	          -43.2	          122.4	                17.9
       1	                     46.9	          -66.8	          146.1	                86.0
       1	                     46.9	          -50.1	          129.3	                 9.5
       1	                     46.9	          -52.3	          131.5	                16.7
       1	                     46.9	          -64.3	          143.5	                27.2
       1	                     46.9	          -29.7	          108.9	                 9.7
       1	                     46.9	          -53.4	          132.6	                32.2
       1	                     46.9	          -54.6	          133.8	                21.1
       1	                     46.9	          -64.3	          143.5	                27.7
       1	                     46.9	          -54.5	          133.7	                39.7
       1	                     46.9	          -57.3	          136.5	                18.3
       1	                     46.9	          -60.7	          139.9	                22.7
       1	                     46.9	          -64.4	          143.6	                39.3
       1	                     46.9	          -66.3	          145.5	                28.5
       1	                     46.9	          -68.1	          147.3	                40.3
       2	                     45.9	          -22.9	          102.1	                 2.3
       2	                     45.9	          -27.2	          106.4	                 2.8
       2	                     45.9	          -32.8	          112.0	                 0.4
       2	                     45.9	          -27.7	          106.9	                 0.2
       2	                     45.9	          -30.8	          110.1	                 1.2
       2	                     45.9	          -46.7	          126.0	                20.2
       2	                     45.9	          -25.4	          104.6	                 2.2
       2	                     45.9	          -37.4	          116.6	                17.2
       2	                     45.9	          -30.7	          109.9	                 1.3
       2	                     45.9	          -43.5	          122.8	                 7.6
       2	                     45.9	          -34.5	          113.7	                17.6
       2	                     45.9	          -41.0	          120.2	                 1.0
       2	                     45.9	          -41.0	          120.2	                 7.6
       2	                     45.9	          -45.8	          125.0	                12.2
       2	                     45.9	          -34.0	          113.2	                 1.3
       2	                     45.9	          -28.5	          107.7	                 3.5
       2	                     45.9	          -43.5	          122.7	                 3.8
       2	                     45.9	          -30.9	          110.1	                 8.3
       2	                     45.9	          -40.0	          119.2	                50.4
       2	                     45.9	          -46.1	          125.4	                16.1
       2	                     45.9	          -40.1	          119.3	                34.7
       2	                     45.9	          -45.3	          124.5	                42.4
       2	                     45.9	          -42.6	          121.8	                 6.7
       2	                     45.9	          -45.3	          124.5	                55.2
       2	                     45.9	          -28.1	          107.3	                 4.0
       2	                     45.9	          -61.6	          140.8	                34.6
       2	                     45.9	          -36.3	          115.5	                12.0
       2	                     45.9	          -51.2	          130.4	                38.9
       2	                     45.9	          -52.0	          131.2	                62.3
       2	                     45.9	          -31.9	          111.1	                 7.0
       2	                     45.9	          -54.0	          133.2	                14.3
       2	                     45.9	          -55.7	          134.9	                79.4
       2	                     45.9	          -37.8	          117.0	                10.8
       2	                     45.9	          -30.4	          109.6	                 4.5
       2	                     45.9	          -63.4	          142.6	                81.8
       2	                     45.9	          -58.5	          137.7	                60.5
       2	                     45.9	          -54.4	          133.6	                47.4
       2	                     45.9	          -62.5	          141.7	               106.7
       2	                     45.9	          -65.0	          144.2	                80.9
       2	                     45.9	          -52.1	          131.3	                74.7
       2	                     45.9	          -57.5	          136.7	                55.4
       2	                     45.9	          -61.1	          140.3	                72.4
       2	                     45.9	          -64.9	          144.1	                33.7
       2	                     45.9	          -59.1	          138.3	                35.7
       2	                     45.9	          -67.5	          146.7	                83.2
       2	                     45.9	          -30.0	          109.3	                 5.3
       2	                     45.9	          -56.4	          135.7	                37.1
       2	                     45.9	          -57.8	          137.0	                12.3
       2	                     45.9	          -39.8	          119.0	                 3.3
       2	                     45.9	          -46.2	          125.4	                 8.6
       2	                     45.9	          -36.4	          115.6	                11.6
       2	                     45.9	          -47.9	          127.1	                17.2
       2	                     45.9	          -30.0	          109.2	                 7.0
       2	                     45.9	          -63.3	          142.5	                27.5
       2	                     45.9	          -45.1	          124.3	                14.8
       2	                     45.9	          -72.5	          151.7	                44.0
       2	                     45.9	          -48.7	          127.9	                24.5
       2	                     45.9	          -68.6	          147.8	                59.5
       2	                     45.9	          -53.3	          132.5	                10.9
       2	                     45.9	          -51.3	          130.5	                15.6
       2	                     45.9	          -59.7	          138.9	                21.8
       2	                     45.9	          -30.2	          109.4	                 6.0
       2	                     45.9	          -48.7	          127.9	                23.3
       2	                     45.9	          -51.8	          131.1	                24.6
       2	                     45.9	          -57.5	          136.7	                 9.8
       2	                     45.9	          -51.8	          131.0	                29.3
       2	                     45.9	          -56.2	          135.4	                16.1
       2	                     45.9	          -51.1	          130.3	                 8.2
       2	                     45.9	          -64.1	          143.3	                35.4
       2	                     45.9	          -69.6	          148.8	                27.8
       2	                     45.9	          -70.0	          149.2	                44.3
       3	                     44.9	          -20.7	           99.9	                 1.6
       3	                     44.9	          -34.5	          113.7	                 5.4
       3	                     44.9	          -31.9	          111.1	                 1.0
       3	                     44.9	          -28.7	          107.9	                 0.1
       3	                     44.9	          -23.4	          102.6	                 0.8
       3	                     44.9	          -30.0	          109.2	                 2.0
       3	                     44.9	          -36.9	          116.1	                 8.8
       3	                     44.9	          -40.5	          119.8	                28.0
       3	                     44.9	          -49.5	          128.7	                 6.2
       3	                     44.9	          -40.6	          119.8	                 4.9
       3	                     44.9	          -34.6	          113.8	                20.6
       3	                     44.9	          -39.5	          118.7	                 1.0
       3	                     44.9	          -39.1	          118.3	                 6.1
       3	                     44.9	          -42.5	          121.7	                10.2
       3	                     44.9	          -40.6	          119.8	                 2.4
       3	                     44.9	          -37.7	          117.0	                10.1
       3	                     44.9	          -36.4	          115.7	                 3.4
       3	                     44.9	          -30.9	          110.1	                 4.8
       3	                     44.9	          -42.4	          121.6	                36.0
       3	                     44.9	          -43.2	          122.4	                36.2
       3	                     44.9	          -35.8	          115.0	                21.0
       3	                     44.9	          -39.7	          118.9	                29.8
       3	                     44.9	          -53.8	          133.0	                36.2
       3	                     44.9	          -49.8	          129.0	                44.4
       3	                     44.9	          -25.2	          104.4	                 3.6
       3	                     44.9	          -52.4	          131.6	                18.5
       3	                     44.9	          -43.3	          122.5	                46.7
       3	                     44.9	          -51.1	          130.3	                22.9
       3	                     44.9	          -57.4	          136.6	                61.7
       3	                     44.9	          -42.6	          121.8	                12.8
       3	                     44.9	          -63.7	          142.9	                64.1
       3	                     44.9	          -51.9	          131.1	                46.0
       3	                     44.9	          -42.9	          122.1	                13.8
       3	                     44.9	          -35.5	          114.8	                 6.6
       3	                     44.9	          -61.5	          140.7	                80.2
       3	                     44.9	          -62.3	          141.5	                30.4
       3	                     44.9	          -54.1	          133.3	                72.7
       3	                     44.9	          -61.3	          140.6	                96.3
       3	                     44.9	          -61.0	          140.3	                85.1
       3	                     44.9	          -57.9	          137.1	               106.0
       3	                     44.9	          -64.1	          143.3	                73.2
       3	                     44.9	          -59.5	          138.7	                45.2
       3	                     44.9	          -64.8	          144.0	                50.3
       3	                     44.9	          -63.0	          142.2	                89.9
       3	                     44.9	          -63.7	          142.9	                92.1
       3	                     44.9	          -29.1	          108.3	                 3.2
       3	                     44.9	          -60.4	          139.7	                43.7
       3	                     44.9	          -53.5	          132.7	                25.2
       3	                     44.9	          -32.7	          111.9	                 3.5
       3	                     44.9	          -52.9	          132.1	                27.4
       3	                     44.9	          -39.5	          118.7	                 9.7
       3	                     44.9	          -32.1	          111.4	                 1.5
       3	                     44.9	          -29.4	          108.6	                 4.1
       3	                     44.9	          -67.5	          146.7	                41.4
       3	                     44.9	          -49.9	          129.1	                26.1
       3	                     44.9	          -66.2	          145.4	                20.6
       3	                     44.9	          -46.7	          125.9	                27.5
       3	                     44.9	          -61.4	          140.6	                38.3
       3	                     44.9	          -51.6	          130.8	                15.6
       3	                     44.9	          -49.8	          129.0	                19.9
       3	                     44.9	          -56.8	          136.0	                14.4
       3	                     44.9	          -30.4	          109.6	                 3.9
       3	                     44.9	          -53.3	          132.5	                44.9
       3	                     44.9	          -51.4	          130.6	                20.5
       3	                     44.9	          -58.6	          137.8	                11.3
       3	                     44.9	          -52.0	          131.2	                29.8
       3	                     44.9	          -59.8	          139.0	                29.0
       3	                     44.9	          -40.6	          119.8	                 4.0
       3	                     44.9	          -60.4	          139.6	                23.0
       3	                     44.9	          -68.5	          147.7	                30.5
       3	                     44.9	          -62.5	          141.7	                17.0
       4	                     43.9	          -21.3	          100.5	                 4.9
       4	                     43.9	          -23.4	          102.6	                 2.7
       4	                     43.9	          -26.5	          105.7	                 0.2
       4	                     43.9	          -29.4	          108.6	                 0.4
       4	                     43.9	          -31.7	          110.9	                 1.5
       4	                     43.9	          -40.4	          119.6	                 7.3
       4	                     43.9	          -32.3	          111.5	                 5.9
       4	                     43.9	          -33.4	          112.6	                 6.9
       4	                     43.9	          -45.9	          125.1	                 5.0
       4	                     43.9	          -34.6	          113.8	                 1.5
       4	                     43.9	          -37.0	          116.2	                21.1
       4	                     43.9	          -33.1	          112.3	                 0.7
       4	                     43.9	          -34.1	          113.3	                 4.3
       4	                     43.9	          -43.4	          122.6	                11.6
       4	                     43.9	          -42.2	          121.4	                 2.8
       4	                     43.9	          -40.6	          119.8	                13.6
       4	                     43.9	          -48.7	          127.9	                19.5
       4	                     43.9	          -32.6	          111.8	                15.0
       4	                     43.9	          -45.0	          124.3	                13.2
       4	                     43.9	          -49.0	          128.2	                38.6
       4	                     43.9	          -43.6	          122.8	                49.7
       4	                     43.9	          -41.9	          121.1	                40.1
       4	                     43.9	          -50.5	          129.8	                20.3
       4	                     43.9	          -42.3	          121.5	                42.5
       4	                     43.9	          -26.3	          105.5	                15.0
       4	                     43.9	          -48.6	          127.8	                25.0
       4	                     43.9	          -42.8	          122.0	                54.5
       4	                     43.9	          -51.9	          131.1	                39.9
       4	                     43.9	          -51.4	          130.6	                63.1
       4	                     43.9	          -39.2	          118.4	                20.0
       4	                     43.9	          -53.1	          132.3	                25.0
       4	                     43.9	          -49.7	          128.9	                67.8
       4	                     43.9	          -35.4	          114.6	                26.5
       4	                     43.9	          -29.4	          108.6	                 9.0
       4	                     43.9	          -59.8	          139.0	                63.7
       4	                     43.9	          -65.4	          144.6	                69.6
       4	                     43.9	          -50.0	          129.3	                31.3
       4	                     43.9	          -69.0	          148.2	                67.9
       4	                     43.9	          -56.2	          135.4	                82.9
       4	                     43.9	          -54.4	          133.6	                33.1
       4	                     43.9	          -57.0	          136.2	                24.0
       4	                     43.9	          -58.4	          137.6	                49.8
       4	                     43.9	          -61.5	          140.7	                67.1
       4	                     43.9	          -64.3	          143.5	                96.1
       4	                     43.9	          -64.2	          143.4	                98.6
       4	                     43.9	          -31.5	          110.7	                 4.9
       4	                     43.9	          -54.1	          133.3	                21.1
       4	                     43.9	          -62.8	          142.1	                69.4
       4	                     43.9	          -43.5	          122.8	                 8.9
       4	                     43.9	          -56.3	          135.6	                16.2
       4	                     43.9	          -38.1	          117.4	                22.0
       4	                     43.9	          -43.4	          122.6	                 6.7
       4	                     43.9	          -28.9	          108.1	                10.4
       4	                     43.9	          -64.2	          143.4	                38.6
       4	                     43.9	          -49.6	          128.8	                49.2
       4	                     43.9	          -67.7	          146.9	                33.3
       4	                     43.9	          -48.2	          127.4	                29.2
       4	                     43.9	          -65.3	          144.5	                75.2
       4	                     43.9	          -45.1	          124.3	                10.5
       4	                     43.9	          -51.5	          130.7	                24.6
       4	                     43.9	          -58.5	          137.7	                12.0
       4	                     43.9	          -29.1	          108.3	                 9.8
       4	                     43.9	          -51.6	          130.8	                40.2
       4	                     43.9	          -52.9	          132.1	                34.5
       4	                     43.9	          -59.2	          138.4	                19.1
       4	                     43.9	          -53.7	          133.0	                41.0
       4	                     43.9	          -55.7	          134.9	                18.3
       4	                     43.9	          -51.9	          131.1	                16.8
       4	                     43.9	          -61.3	          140.5	                27.6
       4	                     43.9	          -63.0	          142.2	                23.0
       4	                     43.9	          -67.1	          146.3	                33.3
       5	                     42.9	          -21.3	          100.5	                 1.9
       5	                     42.9	          -34.4	          113.6	                 3.7
       5	                     42.9	          -28.1	          107.3	                 0.3
       5	                     42.9	          -48.2	          127.4	                 2.0
       5	                     42.9	          -23.8	          103.0	                 0.5
       5	                     42.9	          -40.8	          120.0	                12.5
       5	                     42.9	          -30.1	          109.3	                 3.1
       5	                     42.9	          -33.0	          112.3	                 8.3
       5	                     42.9	          -34.8	          114.0	                 0.5
       5	                     42.9	          -33.0	          112.2	                 1.1
       5	                     42.9	          -41.9	          121.1	                23.3
       5	                     42.9	          -47.0	          126.2	                 2.5
       5	                     42.9	          -40.0	          119.3	                 4.5
       5	                     42.9	          -40.0	          119.2	                 8.5
       5	                     42.9	          -25.2	          104.4	                 0.3
       5	                     42.9	          -37.1	          116.4	                 8.8
       5	                     42.9	          -47.0	          126.2	                14.0
       5	                     42.9	          -37.0	          116.2	                12.8
       5	                     42.9	          -48.9	          128.1	                13.6
       5	                     42.9	          -44.1	          123.3	                23.8
       5	                     42.9	          -37.9	          117.1	                29.4
       5	                     42.9	          -38.9	          118.1	                28.0
       5	                     42.9	          -43.6	          122.8	                 8.2
       5	                     42.9	          -48.5	          127.7	                63.6
       5	                     42.9	          -27.8	          107.0	                 8.0
       5	                     42.9	          -52.2	          131.4	                22.7
       5	                     42.9	          -41.3	          120.5	                48.2
       5	                     42.9	          -51.6	          130.8	                52.5
       5	                     42.9	          -53.7	          132.9	                44.1
       5	                     42.9	          -38.5	          117.7	                 9.1
       5	                     42.9	          -58.6	          137.8	                25.6
       5	                     42.9	          -52.3	          131.6	                74.9
       5	                     42.9	          -46.3	          125.6	                22.5
       5	                     42.9	          -38.4	          117.6	                16.8
       5	                     42.9	          -63.5	          142.7	                61.2
       5	                     42.9	          -65.5	          144.7	                67.2
       5	                     42.9	          -54.6	          133.8	                39.1
       5	                     42.9	          -63.1	          142.3	                71.0
       5	                     42.9	          -63.0	          142.3	                71.5
       5	                     42.9	          -61.4	          140.6	                85.0
       5	                     42.9	          -61.8	          141.0	                87.9
       5	                     42.9	          -61.7	          140.9	                56.3
       5	                     42.9	          -61.0	          140.2	                27.2
       5	                     42.9	          -57.3	          136.5	                77.1
       5	                     42.9	          -67.7	          146.9	                79.9
       5	                     42.9	          -33.5	          112.7	                 6.0
       5	                     42.9	          -61.9	          141.1	                59.4
       5	                     42.9	          -58.5	          137.8	                34.2
       5	                     42.9	          -41.3	          120.5	                 6.7
       5	                     42.9	          -43.4	          122.6	                 6.2
       5	                     42.9	          -42.9	          122.1	                20.5
       5	                     42.9	          -45.8	          125.0	                16.0
       5	                     42.9	          -31.0	          110.2	                 6.3
       5	                     42.9	          -61.3	          140.5	                20.8
       5	                     42.9	          -41.6	          120.8	                14.5
       5	                     42.9	          -69.0	          148.2	                47.0
       5	                     42.9	          -47.9	          127.1	                30.1
       5	                     42.9	          -66.0	          145.2	                53.9
       5	                     42.9	          -58.9	          138.1	                26.6
       5	                     42.9	          -50.3	          129.5	                25.5
       5	                     42.9	          -61.3	          140.5	                25.9
       5	                     42.9	          -30.9	          110.1	                 6.0
       5	                     42.9	          -54.6	          133.8	                58.0
       5	                     42.9	          -54.8	          134.0	                25.2
       5	                     42.9	          -72.4	          151.6	                43.4
       5	                     42.9	          -56.8	          136.0	                32.4
       5	                     42.9	          -59.8	          139.0	                33.7
       5	                     42.9	          -54.2	          133.4	                19.3
       5	                     42.9	          -64.7	          143.9	                38.8
       5	                     42.9	          -72.7	          151.9	                50.3
       5	                     42.9	          -66.9	          146.1	                48.3
       6	                     41.9	          -21.2	          100.4	                 1.0
       6	                     41.9	          -31.2	          110.5	                 2.0
       6	                     41.9	          -31.0	          110.2	                 1.0
       6	                     41.9	          -22.5	          101.7	                 0.2
       6	                     41.9	          -39.8	          119.0	                 2.3
       6	                     41.9	          -23.0	          102.2	                 0.8
       6	                     41.9	          -36.7	          115.9	                 5.9
       6	                     41.9	          -38.8	          118.0	                 9.2
       6	                     41.9	          -46.1	          125.3	                 2.0
       6	                     41.9	          -50.9	          130.1	                 6.4
       6	                     41.9	          -34.7	          114.0	                 8.5
       6	                     41.9	          -37.0	          116.2	                 0.8
       6	                     41.9	          -43.3	          122.5	                 4.7
       6	                     41.9	          -38.7	          117.9	                 7.8
       6	                     41.9	          -40.8	          120.0	                 1.1
       6	                     41.9	          -37.6	          116.8	                 4.2
       6	                     41.9	          -45.7	          124.9	                18.7
       6	                     41.9	          -39.9	          119.1	                37.2
       6	                     41.9	          -41.8	          121.0	                 2.3
       6	                     41.9	          -37.0	          116.3	                11.6
       6	                     41.9	          -43.1	          122.3	                40.4
       6	                     41.9	          -42.7	          121.9	                36.4
       6	                     41.9	          -45.4	          124.6	                25.0
       6	                     41.9	          -47.4	          126.6	                62.8
       6	                     41.9	          -30.5	          109.7	                 6.4
       6	                     41.9	          -52.4	          131.6	                19.4
       6	                     41.9	          -46.9	          126.1	                53.2
       6	                     41.9	          -51.6	          130.8	                78.7
       6	                     41.9	          -54.4	          133.6	                27.5
       6	                     41.9	          -46.1	          125.3	                24.7
       6	                     41.9	          -55.9	          135.1	                62.8
       6	                     41.9	          -44.1	          123.3	                39.3
       6	                     41.9	          -43.8	          123.0	                25.2
       6	                     41.9	          -39.6	          118.8	                13.8
       6	                     41.9	          -64.0	          143.2	                69.6
       6	                     41.9	          -49.7	          128.9	                10.2
       6	                     41.9	          -60.2	          139.4	                62.3
       6	                     41.9	          -72.3	          151.5	                96.6
       6	                     41.9	          -58.4	          137.6	                66.7
       6	                     41.9	          -58.2	          137.4	                90.6
       6	                     41.9	          -61.1	          140.3	                81.2
       6	                     41.9	          -52.2	          131.5	                42.2
       6	                     41.9	          -62.9	          142.1	                51.4
       6	                     41.9	          -65.2	          144.5	                85.6
       6	                     41.9	          -61.2	          140.4	                60.4
       6	                     41.9	          -35.9	          115.1	                 5.1
       6	                     41.9	          -64.3	          143.5	                68.5
       6	                     41.9	          -70.6	          149.8	               108.1
       6	                     41.9	          -55.4	          134.6	                26.9
       6	                     41.9	          -62.6	          141.8	                23.5
       6	                     41.9	          -43.0	          122.2	                37.3
       6	                     41.9	          -30.2	          109.4	                 2.6
       6	                     41.9	          -31.7	          110.9	                12.9
       6	                     41.9	          -60.4	          139.6	                46.1
       6	                     41.9	          -57.4	          136.6	                46.7
       6	                     41.9	          -57.2	          136.4	                 9.8
       6	                     41.9	          -50.0	          129.2	                28.3
       6	                     41.9	          -57.6	          136.8	                19.2
       6	                     41.9	          -49.3	          128.5	                 8.1
       6	                     41.9	          -52.6	          131.8	                30.6
       6	                     41.9	          -51.8	          131.0	                 6.6
       6	                     41.9	          -30.7	          109.9	                 4.9
       6	                     41.9	          -56.9	          136.1	                67.8
       6	                     41.9	          -50.5	          129.7	                19.0
       6	                     41.9	          -54.9	          134.1	                10.7
       6	                     41.9	          -52.0	          131.2	                20.9
       6	                     41.9	          -63.0	          142.2	                35.4
       6	                     41.9	          -57.2	          136.4	                21.6
       6	                     41.9	          -59.6	          138.8	                17.0
       6	                     41.9	          -65.9	          145.1	                23.8
       6	                     41.9	          -58.0	          137.3	                13.3
       7	                     40.9	          -18.0	           97.2	                 0.8
       7	                     40.9	          -27.6	          106.8	                 1.2
       7	                     40.9	          -25.9	          105.1	                 0.2
       7	                     40.9	          -37.9	          117.1	                 1.3
       7	                     40.9	          -35.6	          114.8	                 1.6
       7	                     40.9	          -39.7	          118.9	                 9.2
       7	                     40.9	          -41.3	          120.5	                13.5
       7	                     40.9	          -33.4	          112.6	                 4.6
       7	                     40.9	          -33.6	          112.9	                 0.5
       7	                     40.9	          -41.8	          121.0	                 1.2
       7	                     40.9	          -28.5	          107.7	                 1.9
       7	                     40.9	          -52.5	          131.7	                 5.9
       7	                     40.9	          -45.3	          124.5	                 6.4
       7	                     40.9	          -37.7	          116.9	                10.5
       7	                     40.9	          -43.5	          122.7	                 2.0
       7	                     40.9	          -45.3	          124.5	                12.5
       7	                     40.9	          -48.3	          127.5	                19.3
       7	                     40.9	          -43.3	          122.6	                38.3
       7	                     40.9	          -59.4	          138.6	                19.9
       7	                     40.9	          -45.5	          124.7	                31.2
       7	                     40.9	          -40.4	          119.6	                40.9
       7	                     40.9	          -43.1	          122.3	                49.5
       7	                     40.9	          -49.7	          128.9	                21.9
       7	                     40.9	          -45.4	          124.6	                68.4
       7	                     40.9	          -31.5	          110.7	                15.6
       7	                     40.9	          -55.2	          134.4	                14.4
       7	                     40.9	          -43.2	          122.4	                50.1
       7	                     40.9	          -50.5	          129.7	                78.3
       7	                     40.9	          -68.0	          147.2	                73.1
       7	                     40.9	          -47.4	          126.6	                55.5
       7	                     40.9	          -51.7	          130.9	                17.7
       7	                     40.9	          -54.1	          133.3	                56.7
       7	                     40.9	          -42.1	          121.3	                 7.1
       7	                     40.9	          -38.9	          118.1	                 8.0
       7	                     40.9	          -61.1	          140.3	                46.2
       7	                     40.9	          -68.6	          147.8	                73.0
       7	                     40.9	          -63.2	          142.4	                83.5
       7	                     40.9	          -68.9	          148.1	                97.5
       7	                     40.9	          -63.0	          142.3	                74.8
       7	                     40.9	          -65.5	          144.7	                62.0
       7	                     40.9	          -59.3	          138.5	                43.9
       7	                     40.9	          -56.8	          136.0	                75.6
       7	                     40.9	          -60.5	          139.7	                44.8
       7	                     40.9	          -71.6	          150.8	               100.4
       7	                     40.9	          -68.0	          147.2	               105.1
       7	                     40.9	          -35.9	          115.1	                 5.5
       7	                     40.9	          -63.5	          142.7	               120.0
       7	                     40.9	          -72.0	          151.2	               108.7
       7	                     40.9	          -53.2	          132.4	                23.1
       7	                     40.9	          -65.3	          144.5	                22.5
       7	                     40.9	          -43.2	          122.5	                29.0
       7	                     40.9	          -48.1	          127.3	                16.4
       7	                     40.9	          -29.9	          109.2	                 6.4
       7	                     40.9	          -66.4	          145.6	                45.2
       7	                     40.9	          -57.8	          137.1	                53.3
       7	                     40.9	          -65.7	          144.9	                37.9
       7	                     40.9	          -47.9	          127.1	                13.0
       7	                     40.9	          -66.1	          145.3	                51.0
       7	                     40.9	          -64.4	          143.6	                55.8
       7	                     40.9	          -50.5	          129.7	                29.1
       7	                     40.9	          -61.6	          140.8	                16.0
       7	                     40.9	          -27.5	          106.7	                 1.7
       7	                     40.9	          -55.1	          134.4	                22.8
       7	                     40.9	          -49.2	          128.5	                19.5
       7	                     40.9	          -67.9	          147.1	                42.9
       7	                     40.9	          -51.2	          130.5	                17.6
       7	                     40.9	          -60.9	          140.1	                28.4
       7	                     40.9	          -62.9	          142.1	                22.9
       7	                     40.9	          -67.0	          146.2	                29.3
       7	                     40.9	          -73.9	          153.1	                67.4
       7	                     40.9	          -67.0	          146.2	                36.3
       8	                     40.0	          -19.7	           98.9	                 1.2
       8	                     40.0	          -24.1	          103.3	                 0.8
       8	                     40.0	          -27.3	          106.5	                 0.7
       8	                     40.0	          -33.8	          113.0	                 0.6
       8	                     40.0	          -30.5	          109.7	                 0.7
       8	                     40.0	          -27.2	          106.5	                 2.6
       8	                     40.0	          -28.9	          108.1	                 2.7
       8	                     40.0	          -25.9	          105.1	                 3.6
       8	                     40.0	          -32.6	          111.8	                 0.4
